id,openness,conscientiousness,extraversion,agreeableness,neuroticism
112,2.94,2.83,3.11,2.48,3.57
113,3.49,2.82,2.61,3.47,1
114,3.89,3.29,2.84,3.7,3.26
115,3.58,2.98,3.05,3.65,4.57
116,2.62,3.01,1.46,3.81,1.59
117,1.83,2.95,3.41,2.87,1.02
118,3.19,3.74,3.83,3.59,1.78
119,3.73,3.16,2.03,4.27,2.5
120,3.35,4.16,3.33,3.42,3.41
121,4.69,3.69,2.73,5,2.36
122,2.85,4.51,3.46,2.76,3.05
123,3.26,2.71,2.73,3.31,3.06
124,3.84,2.98,1.71,3.18,3.98
125,4.95,3.85,2.15,3.13,2.98
126,4.89,3.02,3.51,4.53,2.51
127,3.06,3.82,3.7,3.68,1.39
128,2.93,2.19,2.65,2.74,3.44
129,4.99,2.96,3.21,3.92,4.34
130,3.24,4.87,3.03,3.33,2.9
131,2.77,3.29,2.38,3.4,4.73
132,3.45,2.87,3.1,4.19,2.58
133,2.66,3.18,4.88,2.32,4.33
134,3.06,3.58,3.49,1.8,1
135,3.34,3.02,2.91,2.92,2.4
136,3.44,3.93,4.18,3.25,2.4
137,3.2,3.46,1.96,3.82,2.09
138,2.14,4.29,2.9,4.34,2.91
139,2.39,4.13,2.25,3.03,2.31
140,2.67,3.32,2.78,2.05,3.31
141,4.19,2.89,1.77,4.35,1.27
142,3.72,3.37,1.75,3.74,2.57
143,4.0,5,2.14,3.52,2.26
144,4.15,3.84,2.81,3.1,1.36
145,4.01,3.17,4.29,3.97,4.21
146,2.66,3.78,3.16,4.26,1.59
147,4.96,3.9,3.92,3.58,3.62
148,3.75,4.05,2.86,3.86,4.16
149,4.06,3.17,2.41,3.64,4.45
150,4.1,3.03,3.32,2.88,2.46
151,3.5,4.29,3.21,3.44,4.26
152,2.24,4.35,3.4,2.33,2.78
153,4.56,3.1,2.65,3.07,1.85
154,2.29,2.95,1.77,2.74,1.32
155,2.84,2.82,3.48,3.6,2.38
156,4.45,3.69,3.49,2.07,2.2
157,2.78,3.94,2.23,4.02,1.44
158,2.4,3.29,3.65,3.89,2.93
159,3.4,3.04,1.38,4.56,3.05
160,4.15,4.36,3.05,2.8,2.98
161,2.49,4.19,1.37,3.97,3.16
162,3.94,2.06,2.94,3.54,3.73
163,2.18,3.2,4.17,4.48,4.82
164,4.11,4.57,4.08,4.05,3.55
165,2.27,4.17,2.76,3.62,2.18
166,3.5,2.93,3.18,3.77,2.73
167,3.84,4.7,2.57,4.38,3.51
168,2.47,3.38,3.29,3.85,2.66
169,2.87,2.99,2.35,3.47,2.95
170,2.92,4.03,3.97,4.52,3.58
171,3.9,3.85,2.72,4.36,4.49
172,3.72,3.5,3.93,3.5,3.95
173,3.25,4.57,3.31,3.65,3.66
174,3.63,3.45,2.25,3.57,1.91
175,2.6,4.03,3.84,3.76,2.86
176,2.09,2.8,3.16,3.79,2.93
177,3.34,3.33,2.14,3.85,2.46
178,4.05,3.82,3.7,3.03,2.36
179,5,3.0,2.74,3.46,2.28
180,2.0,2.96,1.97,3.55,2.14
181,3.45,3.22,3.81,3.4,2.93
182,3.66,3.39,3.26,3.86,2.41
183,3.16,4.29,3.99,3.88,1.89
184,2.77,3.46,3.34,3.12,3.68
185,1.99,3.21,1.13,3.15,2.41
186,3.08,3.32,2.6,4.53,3.84
187,4.11,2.64,2.32,4.57,1
188,2.61,3.36,3.17,4.59,2.31
189,3.83,3.36,2.53,3.57,2.97
190,2.87,3.14,3.64,3.46,2.95
191,2.91,3.02,3.55,2.94,3.94
192,2.54,3.65,3.38,4.05,4.0
193,2.85,3.17,2.34,3.17,3.06
194,3.06,3.06,3.48,3.3,1.97
195,3.19,2.87,3.83,4.12,2.9
196,3.79,3.47,3.94,4.59,3.01
197,4.08,3.25,2.39,4.12,1.6
198,4.28,3.43,3.6,4.56,2.5
199,2.81,3.46,2.16,3.75,2.73
200,4.4,2.75,2.02,3.87,2.51
